Estado,Confirmados totales,Confirmados nuevos,Defunciones,Defunciones nuevas,Sospechosos totales,Negativos totales
Ag,2473,1,158,0,481,5468
BC,10012,74,2064,9,1591,5830
BCS,1769,40,87,1,516,3440
Camp,2500,118,250,11,393,2225
Chia,4737,82,628,17,634,2072
Chih,3387,37,672,1,1277,3698
CDMX,63530,644,6963,42,13566,76976
Coah,5852,266,268,11,4559,14418
Col,709,28,86,1,85,909
Dgo,2306,94,157,0,828,5409
Gto,9311,358,419,6,2013,19509
Gro,5931,141,980,7,2138,3556
Hgo,4235,93,722,8,137,3059
Jal,7726,179,848,41,2211,17473
Mich,6416,203,495,4,1987,10877
Mor,3023,2,695,2,320,2648
Edo.Mex,26683,265,4681,11,10343,26705
Nay,1974,64,214,1,146,1951
N. L.,7556,270,403,4,3283,22347
Oax,6347,323,624,7,981,3312
Pue,12233,170,1489,8,4819,11410
Qro,2290,37,325,2,156,2599
Q. Roo ,4224,49,624,9,517,3088
S L P,3679,102,180,8,808,7785
Sin,8977,59,1413,9,2027,5951
Son,9069,177,856,26,5239,5504
Tab,12316,385,1166,15,2141,12172
Tamps,7296,49,464,0,4232,13099
Tlax,2748,123,391,4,483,4289
Ver,11348,88,1724,5,2676,6433
Yuc,5103,116,483,3,541,6256
Zac,1088,46,110,0,177,2521
